"artist","title","year","label","genre","source"
"Ani Hoang*","Лекарство За Мъж","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Анелия ft. Галин (2)","Аз Съм Дяволът","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Кали ft. Азис","Имаш Ден","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Не Ме Лъжи","2008","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Нелина","Първи Сме Сега","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Формация Фаворит","Ела, Ела","1994","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Юнона","Не Съм Ти Ник`ва","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Под Прикритие","2008","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Преслава","Няма Да Ти Пиша","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Татяна","Бивша За Секс","2017","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Фики*","Тук Съм","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Tedi Aleksandrova*","Ня'а Проблем","2016","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Хит Сезони - Пролет 2013","2013","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Яница","Мома Яница","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Елена Паришева","Душата В Рая","2009","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Various","Payner Хит Сезони - Есен 2015","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Джена","Диагноза-Ти","2018","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галин (2)","Сменям Ти Адреса","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
"Галена* и Деси Слава*","В Тоите Очи","2015","planeta","pop-folk","https://api.discogs.com/labels/207112/releases"
